TREE_COLORS
SEPARATOR TAB
DATA
252	range	#00493E	Actinobacteria
253	range	#00493E	Actinobacteria
254	range	#00493E	Actinobacteria
255	range	#00493E	Actinobacteria
256	range	#00493E	Actinobacteria
257	range	#00493E	Actinobacteria
258	range	#00493E	Actinobacteria
259	range	#00493E	Actinobacteria
260	range	#00493E	Actinobacteria
261	range	#00493E	Actinobacteria
262	range	#00493E	Actinobacteria
263	range	#00493E	Actinobacteria
264	range	#00493E	Actinobacteria
265	range	#00493E	Actinobacteria
266	range	#00493E	Actinobacteria
267	range	#00493E	Actinobacteria
268	range	#00493E	Actinobacteria
269	range	#00493E	Actinobacteria
270	range	#00493E	Actinobacteria
271	range	#00493E	Actinobacteria
272	range	#00493E	Actinobacteria
273	range	#00493E	Actinobacteria
274	range	#00493E	Actinobacteria
275	range	#00493E	Actinobacteria
276	range	#00493E	Actinobacteria
277	range	#00493E	Actinobacteria
278	range	#00493E	Actinobacteria
279	range	#00493E	Actinobacteria
280	range	#00493E	Actinobacteria
281	range	#00493E	Actinobacteria
282	range	#00493E	Actinobacteria
283	range	#00493E	Actinobacteria
284	range	#00493E	Actinobacteria
285	range	#00493E	Actinobacteria
286	range	#00493E	Actinobacteria
287	range	#00493E	Actinobacteria
288	range	#00493E	Actinobacteria
289	range	#00493E	Actinobacteria
290	range	#00493E	Actinobacteria
291	range	#00493E	Actinobacteria
292	range	#00493E	Actinobacteria
293	range	#00493E	Actinobacteria
294	range	#00493E	Actinobacteria
295	range	#00493E	Actinobacteria
296	range	#00493E	Actinobacteria
297	range	#00493E	Actinobacteria
298	range	#00493E	Actinobacteria
299	range	#00493E	Actinobacteria
300	range	#00493E	Actinobacteria
301	range	#00493E	Actinobacteria
302	range	#00493E	Actinobacteria
303	range	#00493E	Actinobacteria
304	range	#00493E	Actinobacteria
305	range	#00493E	Actinobacteria
306	range	#00493E	Actinobacteria
307	range	#00493E	Actinobacteria
308	range	#00493E	Actinobacteria
309	range	#00493E	Actinobacteria
310	range	#00493E	Actinobacteria
311	range	#00493E	Actinobacteria
312	range	#00493E	Actinobacteria
313	range	#00493E	Actinobacteria
314	range	#00493E	Actinobacteria
315	range	#00493E	Actinobacteria
316	range	#00493E	Actinobacteria
317	range	#00493E	Actinobacteria
318	range	#00493E	Actinobacteria
319	range	#00493E	Actinobacteria
320	range	#00493E	Actinobacteria
321	range	#00493E	Actinobacteria
322	range	#00493E	Actinobacteria
323	range	#00493E	Actinobacteria
324	range	#00493E	Actinobacteria
325	range	#00493E	Actinobacteria
326	range	#00493E	Actinobacteria
327	range	#00493E	Actinobacteria
328	range	#00493E	Actinobacteria
329	range	#00493E	Actinobacteria
330	range	#00493E	Actinobacteria
331	range	#00493E	Actinobacteria
332	range	#00493E	Actinobacteria
333	range	#00493E	Actinobacteria
334	range	#00493E	Actinobacteria
335	range	#00493E	Actinobacteria
336	range	#00493E	Actinobacteria
337	range	#00493E	Actinobacteria
338	range	#00493E	Actinobacteria
339	range	#00493E	Actinobacteria
340	range	#00493E	Actinobacteria
341	range	#00493E	Actinobacteria
342	range	#00493E	Actinobacteria
343	range	#00493E	Actinobacteria
344	range	#00493E	Actinobacteria
345	range	#00493E	Actinobacteria
346	range	#00493E	Actinobacteria
347	range	#00493E	Actinobacteria
348	range	#00493E	Actinobacteria
349	range	#00493E	Actinobacteria
350	range	#00493E	Actinobacteria
351	range	#00493E	Actinobacteria
352	range	#00493E	Actinobacteria
353	range	#00493E	Actinobacteria
354	range	#00493E	Actinobacteria
355	range	#00493E	Actinobacteria
356	range	#00493E	Actinobacteria
357	range	#00493E	Actinobacteria
358	range	#00493E	Actinobacteria
359	range	#00493E	Actinobacteria
360	range	#00493E	Actinobacteria
361	range	#00493E	Actinobacteria
362	range	#00493E	Actinobacteria
363	range	#00493E	Actinobacteria
364	range	#00493E	Actinobacteria
365	range	#00493E	Actinobacteria
366	range	#00493E	Actinobacteria
367	range	#00493E	Actinobacteria
368	range	#00493E	Actinobacteria
369	range	#00493E	Actinobacteria
370	range	#00493E	Actinobacteria
371	range	#00493E	Actinobacteria
372	range	#00493E	Actinobacteria
373	range	#00493E	Actinobacteria
374	range	#00493E	Actinobacteria
375	range	#00493E	Actinobacteria
376	range	#00493E	Actinobacteria
377	range	#00493E	Actinobacteria
378	range	#00493E	Actinobacteria
379	range	#00493E	Actinobacteria
380	range	#00493E	Actinobacteria
381	range	#00493E	Actinobacteria
382	range	#00493E	Actinobacteria
383	range	#00493E	Actinobacteria
384	range	#00493E	Actinobacteria
385	range	#00493E	Actinobacteria
386	range	#00493E	Actinobacteria
387	range	#00493E	Actinobacteria
388	range	#00493E	Actinobacteria
389	range	#00493E	Actinobacteria
390	range	#00493E	Actinobacteria
391	range	#00493E	Actinobacteria
392	range	#00493E	Actinobacteria
393	range	#00493E	Actinobacteria
394	range	#00493E	Actinobacteria
395	range	#00493E	Actinobacteria
396	range	#00493E	Actinobacteria
397	range	#00493E	Actinobacteria
398	range	#00493E	Actinobacteria
399	range	#00493E	Actinobacteria
400	range	#00493E	Actinobacteria
401	range	#00493E	Actinobacteria
402	range	#00493E	Actinobacteria
403	range	#00493E	Actinobacteria
404	range	#00493E	Actinobacteria
405	range	#00493E	Actinobacteria
406	range	#00493E	Actinobacteria
407	range	#00493E	Actinobacteria
408	range	#00493E	Actinobacteria
409	range	#00493E	Actinobacteria
410	range	#00493E	Actinobacteria
411	range	#00493E	Actinobacteria
412	range	#00493E	Actinobacteria
413	range	#00493E	Actinobacteria
414	range	#00493E	Actinobacteria
415	range	#00493E	Actinobacteria
416	range	#00493E	Actinobacteria
417	range	#00493E	Actinobacteria
418	range	#00493E	Actinobacteria
419	range	#00493E	Actinobacteria
420	range	#00493E	Actinobacteria
421	range	#00493E	Actinobacteria
422	range	#00493E	Actinobacteria
423	range	#00493E	Actinobacteria
424	range	#00493E	Actinobacteria
425	range	#00493E	Actinobacteria
426	range	#00574D	Armatimonadetes
427	range	#00574D	Armatimonadetes
428	range	#00574D	Armatimonadetes
429	range	#00645C	Chloroflexi
430	range	#00645C	Chloroflexi
431	range	#00645C	Chloroflexi
432	range	#00645C	Chloroflexi
433	range	#00645C	Chloroflexi
434	range	#00645C	Chloroflexi
435	range	#10746C	Firmicutes
436	range	#10746C	Firmicutes
437	range	#10746C	Firmicutes
438	range	#10746C	Firmicutes
439	range	#10746C	Firmicutes
440	range	#10746C	Firmicutes
441	range	#10746C	Firmicutes
442	range	#10746C	Firmicutes
443	range	#10746C	Firmicutes
444	range	#10746C	Firmicutes
445	range	#10746C	Firmicutes
446	range	#10746C	Firmicutes
447	range	#10746C	Firmicutes
448	range	#10746C	Firmicutes
449	range	#10746C	Firmicutes
450	range	#10746C	Firmicutes
451	range	#10746C	Firmicutes
452	range	#10746C	Firmicutes
453	range	#10746C	Firmicutes
454	range	#10746C	Firmicutes
455	range	#10746C	Firmicutes
456	range	#10746C	Firmicutes
457	range	#10746C	Firmicutes
458	range	#10746C	Firmicutes
459	range	#10746C	Firmicutes
460	range	#10746C	Firmicutes
461	range	#10746C	Firmicutes
462	range	#10746C	Firmicutes
463	range	#10746C	Firmicutes
464	range	#10746C	Firmicutes
465	range	#10746C	Firmicutes
466	range	#10746C	Firmicutes
467	range	#10746C	Firmicutes
468	range	#10746C	Firmicutes
469	range	#10746C	Firmicutes
470	range	#10746C	Firmicutes
471	range	#10746C	Firmicutes
472	range	#10746C	Firmicutes
473	range	#10746C	Firmicutes
474	range	#10746C	Firmicutes
475	range	#10746C	Firmicutes
476	range	#10746C	Firmicutes
477	range	#10746C	Firmicutes
478	range	#10746C	Firmicutes
479	range	#10746C	Firmicutes
480	range	#10746C	Firmicutes
481	range	#10746C	Firmicutes
482	range	#10746C	Firmicutes
483	range	#10746C	Firmicutes
484	range	#10746C	Firmicutes
485	range	#10746C	Firmicutes
486	range	#10746C	Firmicutes
487	range	#10746C	Firmicutes
488	range	#10746C	Firmicutes
